"Comment","Designator","Footprint","LCSC Part #"
"CL21A226MAQNNNE","C1,C2,C3,C4,C5,C6","C_0805_2012Metric","C45783"
"CL21A106KAYNNNE","C7,C12,C13,C20,C21","C_0805_2012Metric","C15850"
"CL05B104KB54PNC","C8,C11,C19,C23,C25,C26,C27,C28,C29,C30,C35,C36,C39,C40,C43,C44,C47,C48,C51,C52,C55,C56","C_0402_1005Metric","C307331"
"CL21A476MQYNNNE","C9","C_0805_2012Metric","C16780"
"CL10B473KB8NNNC","C10,C34,C38,C42,C46,C50,C54","C_0603_1608Metric","C1622"
"CL05A105KA5NQNC","C14,C22","C_0402_1005Metric","C52923"
"CL10A475KO8NNNC","C24","C_0603_1608Metric","C19666"
"0402CG300J500NT","C31,C32","C_0402_1005Metric","C1570"
"1N4148WS_T4","D1","D_SOD-323_HandSoldering","C2128"
"TYPE-C-31-M-12","J1,J2,J3","USB-C_SMD-TYPE-C-31-M-12_1","C165948"
"XY-SH1_0-4A61","J4","CONN-SMD_4P-P1.00_XYECONN_XY-SH1.0-4A61","C19271998"
"GZ1608D601TF","L1","L_0603_1608Metric","C1002"
"KT-0603W","LED1,LED2","LED0603-R-RD_WHITE","C2290"
"0402WGF1002TCE","R1,R2,R4,R5,R6,R9,R10,R26,R28","R_0402_1005Metric","C25744"
"0402WGF1200TCE","R3,R7,R14,R16,R21,R27","R_0402_1005Metric","C25079"
"0402WGF3300TCE","R8,R23,R24,R29,R30,R31,R32,R33,R34","R_0402_1005Metric","C25104"
"0402WGF2202TCE","R11","R_0402_1005Metric","C25768"
"0402WGF5101TCE","R12,R13,R15,R17,R18,R19,R20,R22","R_0402_1005Metric","C25905"
"0402WGF1202TCE","R25","R_0402_1005Metric","C25752"
"SKSGPAE010","SW1,SW2","SW-SMD_SKSGAAE010","C125045"
"CPG151101S11-16","SW3,SW4,SW5,SW6,SW7,SW8","SMD_KEYBOARD-SW","C41430893"
"TestPoint","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22","TestPoint_Pad_D1.0mm",""
"SRV05-4A","U1,U5,U6,U9","SOT-23-6","C20615829"
"LM66100DCK","U2,U7","SOT-363_SC-70-6",""
"AP22653W6-7","U3","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","C2158037"
"TPS7A4700","U4","VQFN-20_L5.0-W5.0-P0.65-TL-EP",""
"XC6206P332MR","U8","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","C5446"
"AT32F405RBT7-7","U10","LQFP-64_L7.0-W7.0-P0.40-LS9.0-BL","C47115472"
"TMUX1574RSVR","U11","UQFN-16_L2.6-W1.8-P0.40-BL","C2673120"
"SK6812MINI-E","U12,U14,U16,U18,U20,U22,U24","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","C5149201"
"TMR2615x","U13,U15,U17,U19,U21,U23","DFN3L(1.6x1.6x0.5)","C9900212297"
"X322512MSB4SI","X1","X322512MSB4SI","C9002"
