"Designator","Mid X","Mid Y","Rotation","Layer"
"C1","137.4500","-99.0250","180.0000","Top"
"C2","137.4500","-101.0000","180.0000","Top"
"C3","137.4500","-102.9750","180.0000","Top"
"C4","94.3250","-103.2000","180.0000","Top"
"C5","94.3250","-101.2250","180.0000","Top"
"C6","94.3250","-99.2500","180.0000","Top"
"C7","120.6500","-97.0500","0.0000","Top"
"C8","117.9000","-98.4250","0.0000","Top"
"C9","137.3250","-113.2250","180.0000","Top"
"C10","129.4250","-101.4000","-90.0000","Top"
"C11","124.2500","-98.6750","180.0000","Top"
"C12","126.8250","-100.9250","-90.0000","Top"
"C13","137.4750","-104.9500","180.0000","Top"
"C14","135.2750","-105.0140","-90.0000","Top"
"C19","92.7500","-105.1656","-90.0000","Top"
"C20","95.0000","-105.1656","180.0000","Top"
"C21","94.7000","-110.6656","0.0000","Top"
"C22","125.3000","-109.7750","-45.0000","Top"
"C23","124.1500","-110.0000","135.0000","Top"
"C24","115.1750","-113.4000","180.0000","Top"
"C25","118.0500","-113.4500","90.0000","Top"
"C26","114.2000","-102.7000","45.0000","Top"
"C27","117.1250","-113.4250","90.0000","Top"
"C28","129.8571","-107.8500","90.0000","Top"
"C29","91.8500","-96.6250","-90.0000","Top"
"C30","105.2750","-108.9250","-90.0000","Top"
"C31","119.9324","-115.2795","135.0000","Top"
"C32","123.6955","-111.5163","135.0000","Top"
"C34","87.8600","-118.6700","90.0000","Top"
"C35","89.7800","-122.4000","0.0000","Top"
"C36","98.2600","-124.7000","-90.0000","Top"
"C38","106.9100","-118.6700","90.0000","Top"
"C39","108.8300","-122.4000","0.0000","Top"
"C40","117.3100","-124.7000","-90.0000","Top"
"C42","125.9600","-118.6700","90.0000","Top"
"C43","127.8800","-122.4000","0.0000","Top"
"C44","136.3600","-124.7000","-90.0000","Top"
"C46","87.8600","-137.7200","90.0000","Top"
"C47","89.7800","-141.4500","0.0000","Top"
"C48","98.2600","-143.7500","-90.0000","Top"
"C50","106.9100","-137.7200","90.0000","Top"
"C51","108.8300","-141.4500","0.0000","Top"
"C52","117.3100","-143.7500","-90.0000","Top"
"C54","125.9600","-137.7200","90.0000","Top"
"C55","127.8800","-141.4500","0.0000","Top"
"C56","136.3600","-143.7500","-90.0000","Top"
"D1","91.5250","-99.5500","-90.0000","Top"
"FID1","137.4250","-92.5250","0.0000","Top"
"FID2","90.1000","-149.2000","0.0000","Top"
"FID3","135.5000","-149.0750","0.0000","Top"
"H1","102.5583","-102.3083","0.0000","Top"
"H2","103.6250","-148.0000","0.0000","Top"
"H3","136.5833","-130.7333","0.0000","Top"
"J1","128.1000","-94.9500","180.0000","Top"
"J2","98.1000","-94.9500","180.0000","Top"
"J3","113.1000","-94.9500","180.0000","Top"
"J4","122.6500","-144.2000","0.0000","Top"
"J9","89.2250","-102.9750","-90.0000","Bottom"
"L1","127.3750","-110.1750","-45.0000","Top"
"LED1","134.1996","-113.1804","0.0000","Top"
"LED2","97.1504","-108.0946","180.0000","Top"
"R1","135.9000","-94.1250","0.0000","Top"
"R2","134.5250","-96.5250","-90.0000","Top"
"R3","134.0250","-95.1000","0.0000","Top"
"R4","131.1000","-102.4000","0.0000","Top"
"R5","117.6500","-100.6250","180.0000","Top"
"R6","124.2750","-100.6250","0.0000","Top"
"R7","134.0250","-94.1250","0.0000","Top"
"R8","130.9500","-103.3750","180.0000","Top"
"R9","129.0500","-103.3750","0.0000","Top"
"R10","117.9250","-99.6250","0.0000","Top"
"R11","124.2750","-99.6500","180.0000","Top"
"R12","126.9250","-98.7500","180.0000","Top"
"R13","128.8000","-98.9500","0.0000","Top"
"R14","121.7250","-127.2500","-90.0000","Top"
"R15","123.2000","-138.0500","90.0000","Top"
"R16","124.1750","-139.9250","-90.0000","Top"
"R17","104.3900","-94.0500","180.0000","Top"
"R18","104.3900","-95.0250","180.0000","Top"
"R19","106.8150","-95.0250","0.0000","Top"
"R20","106.8150","-94.0500","0.0000","Top"
"R21","123.1750","-139.9250","-90.0000","Top"
"R22","124.1600","-138.0500","90.0000","Top"
"R23","132.3496","-112.7804","90.0000","Top"
"R24","97.6584","-109.3646","180.0000","Top"
"R25","115.8000","-100.4250","-45.0000","Top"
"R26","87.7050","-111.4050","-90.0000","Top"
"R27","91.8750","-92.9250","-90.0000","Top"
"R28","100.1750","-108.9250","90.0000","Top"
"R29","89.5300","-118.9100","180.0000","Top"
"R30","108.5800","-118.9100","180.0000","Top"
"R31","127.6300","-118.9100","180.0000","Top"
"R32","89.5300","-137.9600","180.0000","Top"
"R33","108.5800","-137.9600","180.0000","Top"
"R34","127.6300","-137.9600","180.0000","Top"
"SW1","90.2000","-110.9500","0.0000","Top"
"SW2","102.7250","-108.5500","180.0000","Top"
"SW3","94.0500","-120.9500","0.0000","Top"
"SW4","113.1000","-120.9500","0.0000","Top"
"SW5","132.1500","-120.9500","0.0000","Top"
"SW6","94.0500","-140.0000","0.0000","Top"
"SW7","113.1000","-140.0000","0.0000","Top"
"SW8","132.1500","-140.0000","0.0000","Top"
"TP1","128.6250","-94.6500","-90.0000","Bottom"
"TP2","128.1600","-96.6400","0.0000","Bottom"
"TP3","133.8750","-109.0000","90.0000","Bottom"
"TP4","122.0000","-97.4750","180.0000","Bottom"
"TP5","121.2000","-92.2000","180.0000","Bottom"
"TP6","133.8250","-104.4250","180.0000","Bottom"
"TP7","120.6250","-98.9250","180.0000","Bottom"
"TP8","116.5500","-100.9750","180.0000","Bottom"
"TP9","113.1000","-92.9300","-90.0000","Bottom"
"TP10","115.2250","-93.9750","-90.0000","Bottom"
"TP11","120.6000","-96.0500","180.0000","Bottom"
"TP12","95.0250","-110.2750","180.0000","Bottom"
"TP13","127.5800","-110.2100","90.0000","Bottom"
"TP14","127.4750","-107.9000","90.0000","Bottom"
"TP15","125.9000","-104.2500","-90.0000","Bottom"
"TP16","130.4750","-103.5000","-90.0000","Bottom"
"TP17","90.3300","-112.9300","180.0000","Bottom"
"TP18","109.3800","-112.9300","180.0000","Bottom"
"TP19","128.4300","-112.9300","180.0000","Bottom"
"TP20","90.3300","-131.9800","180.0000","Bottom"
"TP21","109.3800","-131.9800","180.0000","Bottom"
"TP22","128.4300","-131.9800","180.0000","Bottom"
"U1","134.0250","-100.5000","90.0000","Top"
"U2","121.2400","-92.5750","180.0000","Top"
"U3","121.2250","-99.5390","180.0000","Top"
"U4","136.2001","-109.1075","90.0000","Top"
"U5","98.1000","-101.9750","90.0000","Top"
"U6","111.1750","-101.5500","180.0000","Top"
"U7","120.0250","-94.8750","0.0000","Top"
"U8","93.8500","-107.9656","90.0000","Top"
"U9","121.7250","-131.9250","90.0000","Top"
"U10","117.7217","-106.9925","45.0000","Top"
"U11","127.6500","-107.0000","180.0000","Top"
"U12","89.2240","-95.5500","-90.0000","Top"
"U13","90.9600","-120.9500","180.0000","Top"
"U14","94.0500","-126.0300","0.0000","Top"
"U15","110.0100","-120.9500","180.0000","Top"
"U16","113.1000","-126.0300","0.0000","Top"
"U17","129.0600","-120.9500","180.0000","Top"
