"Item","Designator","Quantity","Comment","Footprint","Description","Manufacturer","Manufacturer Part Number","Supplier","Supplier Part Number"
"1","C1,C2,C3,C4,C5,C6","6","CL21A226MAQNNNE","C_0805_2012Metric","22uF ±20% 25V Ceramic Capacitor X5R 0805","","CL21A226MAQNNNE","LCSC","C45783"
"2","C7,C12,C13,C20,C21","5","CL21A106KAYNNNE","C_0805_2012Metric","10uF ±10% 25V Ceramic Capacitor X5R 0805","","CL21A106KAYNNNE","LCSC","C15850"
"3","C8,C11,C19,C23,C25,C26,C27,C28,C29,C30,C35,C36,C39,C40,C43,C44,C47,C48,C51,C52,C55,C56","22","CL05B104KB54PNC","C_0402_1005Metric","100nF ±10% 50V Ceramic Capacitor X7R 0402","","CL05B104KB54PNC","LCSC","C307331"
"4","C9","1","CL21A476MQYNNNE","C_0805_2012Metric","47uF ±20% 6.3V Ceramic Capacitor X5R 0805","","CL21A476MQYNNNE","LCSC","C16780"
"5","C10,C34,C38,C42,C46,C50,C54","7","CL10B332KB8NNNC","C_0603_1608Metric","3.3nF ±10% 50V Ceramic Capacitor X7R 0603","","CL10B332KB8NNNC","LCSC","C1613"
"6","C14,C22","2","CL05A105KA5NQNC","C_0402_1005Metric","1uF ±10% 25V Ceramic Capacitor X5R 0402","","CL05A105KA5NQNC","LCSC","C52923"
"7","C24","1","CL10A475KO8NNNC","C_0603_1608Metric","CAP CER 4.7uF 16V X5R 0603","","CL10A475KO8NNNC","LCSC","C19666"
"8","C31,C32","2","0402CG300J500NT","C_0402_1005Metric","30pF ±5% 50V Ceramic Capacitor C0G 0402","","0402CG300J500NT","LCSC","C1570"
"9","D1","1","1N4148WS_T4","D_SOD-323_HandSoldering","1N4148WS","","1N4148WS_T4","LCSC","C2128"
"10","J1,J2,J3","3","TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12_1","Type-C female horizontal SMT","","TYPE-C-31-M-12","LCSC","C165948"
"11","J4","1","XY-SH1_0-4A61","CONN-SMD_4P-P1.00_XYECONN_XY-SH1.0-4A61","1x4P 1mm pitch horizontal SMT","","XY-SH1_0-4A61","LCSC","C19271998"
"12","L1","1","GZ1608D601TF","L_0603_1608Metric","600Ω@100MHz 200mA ferrite bead","","GZ1608D601TF","LCSC","C1002"
"13","LED1,LED2","2","KT-0603W","LED0603-R-RD_WHITE","","","KT-0603W","LCSC","C2290"
"14","R1,R2,R4,R5,R6,R9,R10,R28","8","0402WGF1002TCE","R_0402_1005Metric","10kΩ ±1% 62.5mW 0402 Thick Film Resistor","","0402WGF1002TCE","LCSC","C25744"
"15","R3,R7,R14,R16,R21,R27","6","0402WGF1200TCE","R_0402_1005Metric","120Ω ±1% 62.5mW 0402 Thick Film Resistor","","0402WGF1200TCE","LCSC","C25079"
"16","R8,R12,R13,R15,R17,R18,R19,R20,R22,R29,R30,R31,R32,R33,R34","15","0402WGF5101TCE","R_0402_1005Metric","5.1kΩ ±1% 62.5mW 0402 Thick Film Resistor","","0402WGF5101TCE","LCSC","C25905"
"17","R11","1","0402WGF2202TCE","R_0402_1005Metric","22kΩ ±1% 62.5mW 0402 Thick Film Resistor","","0402WGF2202TCE","LCSC","C25768"
"18","R23,R24","2","0402WGF3300TCE","R_0402_1005Metric","RES 330Ω ±1% 62.5mW 0402","","0402WGF3300TCE","LCSC","C25104"
"19","R25","1","0402WGF1202TCE","R_0402_1005Metric","12kΩ ±1% 62.5mW 0402 Thick Film Resistor","","0402WGF1202TCE","LCSC","C25752"
"20","R26","1","0402WGF3301TCE","R_0402_1005Metric","3.3kΩ ±1% 62.5mW 0402 Thick Film Resistor","","0402WGF3301TCE","LCSC","C25890"
"21","SW1,SW2","2","SKSGPAE010","SW-SMD_SKSGAAE010","","","SKSGPAE010","LCSC","C125045"
"22","SW3,SW4,SW5,SW6,SW7,SW8","6","CPG151101S11-16","SMD_KEYBOARD-SW","Kailh-style MX hotswap socket (CPG151101S11-16)","","CPG151101S11-16","LCSC","C41430893"
"23","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22","22","TestPoint","TestPoint_Pad_D1.0mm","test point","","","",""
"24","U1,U5,U9","3","SRV05-4A","SOT-23-6","ESD Protection Diodes with Low Clamping Voltage, SOT-23-6","","SRV05-4A","LCSC","C20615829"
"25","U2,U7","2","LM66100DCK","SOT-363_SC-70-6","Ideal Diode With Input Polarity Protection 1.5 - 5.5V  Input Voltage, 1.5A Output Current, Ron 141 mOhm, SC-70-6","","LM66100DCK","LCSC","C2869734"
"26","U3","1","AP22653W6-7","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","USB power switch / eFuse, 0.5-2.1A precision-adjustable current limit via R_ILIM, reverse-current blocking, soft-start, FLG fault flag, active-high EN — Diodes AP22653W6-7","","AP22653W6-7","LCSC","C2158037"
"27","U4","1","TPS7A4700","VQFN-20_L5.0-W5.0-P0.65-TL-EP","","Texas Instruments","TPS7A4700RGWT","LCSC","C28286"
"28","U8","1","XC6206P332MR","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","3.3V 200mA 6V","","XC6206P332MR","LCSC","C5446"
"29","U10","1","AT32F405RBT7-7","LQFP-64_L7.0-W7.0-P0.40-LS9.0-BL","ARM Cortex-M4F MCU, 216 MHz, 128KB Flash, 96+6KB SRAM, USB 2.0 HS+FS PHY, 1× 12-bit 2 MSPS ADC w/ 16-bit oversampling — Artery AT32F405RBT7-7","","AT32F405RBT7-7","LCSC","C47115472"
"30","U11","1","TMUX1574RSVR","UQFN-16_L2.6-W1.8-P0.40-BL","Quad SPDT (4× 2:1) analog mux, 1.5-5.5V, 2Ω Ron, low charge injection (TI TMUX1574), UQFN-16 package","","TMUX1574RSVR","LCSC","C2673120"
"31","U12,U14,U16,U18,U20,U22,U24","7","SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","SK6812MINI-E addressable RGB LED, 5V, 4-pin SMD reverse-mount","","SK6812MINI-E","LCSC","C5149201"
"32","U13,U15,U17,U19,U21,U23","6","TMR2615F-AAC-1.500-500","DFN3L(1.6x1.6x0.5)","Low Power Large Range TMR Linear Magnetic Sens","MultiDimension Technology (MDT)","TMR2615F-AAC-1.500-500","LCSC","C9900212297"
"33","U25,U26","2","PESD5V0R1BSFYL","SOD-962_L0.6-W0.3-BI","Bidirectional ESD, 5V VRWM, 0.15pF max line capacitance (TrEOS), IEC 61000-4-2 ±8kV contact, SOD-962/DSN0603-2","","PESD5V0R1BSFYL","LCSC","C461221"
"34","X1","1","X322512MSB4SI","X322512MSB4SI","Crystal 12MHz ±10ppm 20pF SMD3225-4P","","X322512MSB4SI","LCSC","C9002"
